#,Company,Symbol,Portfolio%,Price,Chg,% Chg
118,The Southern Company,SO,0.18%,69.95,-0.28,(-0.40%)
119,Duke Energy Corporation,DUK,0.17%,95.68,0.27,(0.29%)
120,Colgate-Palmolive Company,CL,0.17%,88.62,0.27,(0.31%)
121,Csx Corporation,CSX,0.17%,37.93,0.32,(0.85%)
122,Illinois Tool Works Inc.,ITW,0.17%,270.53,1.78,(0.66%)
123,"Eog Resources, Inc.",EOG,0.17%,124.54,-1.16,(-0.92%)
124,Marathon Petroleum Corporation,MPC,0.17%,197.03,-0.72,(-0.36%)
125,Arista Networks,ANET,0.17%,303.21,6.63,(2.23%)
126,"Airbnb, Inc. Class A",ABNB,0.16%,168.55,3.84,(2.33%)
127,Mckesson Corporation,MCK,0.16%,533.64,2.89,(0.55%)
128,"Becton, Dickinson and Co.",BDX,0.16%,240.50,2.63,(1.11%)
129,Parker-Hannifin Corporation,PH,0.16%,542.50,-3.96,(-0.72%)
130,"Paypal Holdings, Inc.",PYPL,0.16%,66.19,1.14,(1.74%)
131,Phillips 66,PSX,0.16%,159.20,0.44,(0.27%)
132,Trane Technologies Plc,TT,0.16%,276.90,-21.72,(-7.27%)
133,"O'reilly Automotive, Inc.",ORLY,0.15%,"1,160.00",14.71,(1.28%)
134,Transdigm Group Incorporated,TDG,0.15%,955.53,-259.45,(-21.35%)
135,Northrop Grumman Corp.,NOC,0.15%,470.45,-0.30,(-0.06%)
136,Amphenol Corporation,APH,0.15%,115.49,3.38,(3.01%)
137,U.S. Bancorp,USB,0.15%,44.42,0.96,(2.21%)
138,"Hca Healthcare, Inc.",HCA,0.15%,328.11,-0.75,(-0.23%)
139,Aon Plc Class A,AON,0.15%,326.75,0.68,(0.21%)
140,Freeport-Mcmoran Inc.,FCX,0.15%,46.20,0.19,(0.40%)
141,Emerson Electric Co.,EMR,0.15%,112.82,0.80,(0.72%)
142,Paccar Inc,PCAR,0.15%,124.75,3.30,(2.71%)
143,General Dynamics Corporation,GD,0.15%,279.98,-2.57,(-0.91%)
144,Marriot International Class A,MAR,0.14%,255.93,1.88,(0.74%)
145,Moody's Corporation,MCO,0.14%,395.00,4.79,(1.23%)
146,Nxp Semiconductors N.v.,NXPI,0.14%,249.52,8.25,(3.42%)
147,Pnc Financial Services Group,PNC,0.14%,158.01,4.20,(2.73%)
148,Pioneer Natural Resource Co.,PXD,0.14%,253.70,-0.32,(-0.13%)
149,Fedex Corporation,FDX,0.14%,298.73,38.74,(14.90%)
150,"Roper Technologies, Inc.",ROP,0.13%,557.10,3.04,(0.55%)
151,3m Company,MMM,0.13%,107.90,-0.21,(-0.19%)
152,Norfolk Southern Corp.,NSC,0.13%,258.06,-3.17,(-1.21%)
153,"Ecolab, Inc.",ECL,0.13%,227.45,-1.17,(-0.51%)
154,"Motorola Solutions, Inc.",MSI,0.13%,349.25,3.22,(0.93%)
155,Edwards Lifesciences Corp,EW,0.13%,94.75,1.71,(1.84%)
156,Valero Energy Corporation,VLO,0.13%,170.50,0.93,(0.55%)
157,Constellation Energy Corporation,CEG,0.13%,174.56,-1.16,(-0.66%)
158,Autodesk Inc,ADSK,0.13%,265.44,3.00,(1.15%)
159,Arthur J. Gallagher & Co.,AJG,0.13%,248.73,-7.14,(-2.79%)
160,"Autozone, Inc.",AZO,0.13%,"2,686.33",-501.05,(-15.72%)
161,Cintas Corp,CTAS,0.12%,642.65,7.66,(1.21%)
162,Lululemon Athletica Inc.,LULU,0.12%,428.56,-40.50,(-8.63%)
163,"Air Products & Chemicals, Inc.",APD,0.12%,235.70,-3.25,(-1.36%)
164,"American International Group, Inc.",AIG,0.12%,76.31,-0.43,(-0.56%)
165,Hilton Worldwide Holdings Inc.,HLT,0.12%,210.80,0.28,(0.14%)
166,Capital One Financial,COF,0.12%,144.66,2.88,(2.03%)
167,Welltower Inc.,WELL,0.12%,93.05,0.06,(0.06%)
168,"Dexcom, Inc.",DXCM,0.12%,134.24,1.71,(1.29%)
169,"The Travelers Companies, Inc.",TRV,0.12%,226.30,1.30,(0.58%)
170,"Simon Property Group, Inc.",SPG,0.12%,155.78,0.38,(0.24%)
171,Ross Stores Inc,ROST,0.11%,147.61,0.63,(0.43%)
172,Carrier Global Corporation,CARR,0.11%,60.03,1.48,(2.52%)
173,Copart Inc,CPRT,0.11%,57.50,0.60,(1.05%)
174,Ford Motor Company,F,0.11%,12.91,0.00,(0.04%)
175,General Motors Company,GM,0.11%,43.44,0.59,(1.38%)
176,Truist Financial Corporation,TFC,0.11%,38.05,1.23,(3.33%)
177,Microchip Technology Inc,MCHP,0.11%,89.05,0.71,(0.80%)
178,D.R. Horton Inc.,DHI,0.11%,161.48,2.90,(1.83%)
